;TypeVendeur;année;codepostal;cote_affinée;email;kilometrage;lien;modele;prix_neuf;prix_vente;telephone;telfromdesc;type
0;particulier;2017;" 91190
                ";13331;NA;4000;https://www.leboncoin.fr/voitures/1322161583.htm?ca=12_s;Zoe;24600;16800;0675293430;NA;intens
1;particulier;2017;"Elisabethville 78410
                ";12740;pascal.le-neel@renault.com;20000;https://www.leboncoin.fr/voitures/1321487407.htm?ca=12_s;Zoe;23900;15900;0631915771;NA;NA
2;Pro Véhicules;2015;"Dourdan 91410
                ";11184;NA;15254;https://www.leboncoin.fr/voitures/1317781865.htm?ca=12_s;Zoe;24600;10990;0164597186;NA;intens
3;Pro Véhicules;2014;"Saint-Ouen-l'Aumône 95310
                ";9368;NA;28537;https://www.leboncoin.fr/voitures/1321415628.htm?ca=12_s;Zoe;22600;7900;0134301285;0134301285;life
4;Pro Véhicules;2013;"Dourdan 91410
                ";9199;NA;8751;https://www.leboncoin.fr/voitures/1317567777.htm?ca=12_s;Zoe;22600;8990;A prendre plus tard;NA;life
5;particulier;2014;"Paris 75013
                ";9341;NA;29000;https://www.leboncoin.fr/voitures/1321142626.htm?ca=12_s;Zoe;22600;9700;A prendre plus tard;NA;life
6;Pro Véhicules;2017;"Boissise-le-Roi 77310
                ";12726;NA;240;https://www.leboncoin.fr/voitures/1321153817.htm?ca=12_s;Zoe;22600;13990;A prendre plus tard;0160657097;life
7;Pro Véhicules;2015;"Paris 75008
                ";10803;NA;7248;https://www.leboncoin.fr/voitures/1174505539.htm?ca=12_s;Zoe;22600;10690;A prendre plus tard;0178455073;life
8;Pro Véhicules;2015;"Versailles 78000
                ";10744;NA;11480;https://www.leboncoin.fr/voitures/1320775407.htm?ca=12_s;Zoe;22600;10300;A prendre plus tard;0175448151;life
9;particulier;2016;"Sannois 95110
                ";11709;NA;5700;https://www.leboncoin.fr/voitures/1320263745.htm?ca=12_s;Zoe;22600;8900;A prendre plus tard;NA;life
10;Pro Véhicules;2014;"Villemomble 93250
                ";9524;NA;34121;https://www.leboncoin.fr/voitures/1164673130.htm?ca=12_s;Zoe;24600;10790;A prendre plus tard;0805805802;intens
11;Pro Véhicules;2015;"Meaux 77100
                ";11334;NA;9474;https://www.leboncoin.fr/voitures/1180066051.htm?ca=12_s;Zoe;24600;10980;A prendre plus tard;0805805802;intens
12;Pro Véhicules;2014;"Vitry-sur-Seine 94400
                ";9954;NA;10207;https://www.leboncoin.fr/voitures/1179117509.htm?ca=12_s;Zoe;22600;10290;A prendre plus tard;0805805802;life
13;Pro Véhicules;2016;"Meaux 77100
                ";11633;NA;9087;https://www.leboncoin.fr/voitures/1170785025.htm?ca=12_s;Zoe;22600;10480;A prendre plus tard;0805805802;life
